number,handle name,handle ID,tweet,tweet time,retweet count,likes count
44,Kayla Punchihewa,alittlelotus,"Seven children dead. A father in a medically-induced coma. A mother who fled Syria with her family... now destroyed. This heartbreaking story continues today with a public funeral in Halifax. 
All are welcome to attend, or view the live stream here:
https://t.co/1TwlIAwSFV https://t.co/zmGvFW5mGN",Sat Feb 23 18:49:14 +0000 2019,0,0
45,Gay Garrett-Abbo,gglightbulb,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:49:17 +0000 2019,0,0
46,Kayla Punchihewa,alittlelotus,Halifax Regional Police &amp; Halifax fire have just arrived at the Cunard Centre to take part in today’s funeral for the #Barho children. https://t.co/C9T7lsbem1,Sat Feb 23 18:49:22 +0000 2019,0,0
47,Janet Yackle,janet_yackle,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:49:24 +0000 2019,0,0
48,"Gail Nestel, Canada",Gail_F_Nestel,"Seven children dead. A father in a medically-induced coma. A mother who fled Syria with her family... now destroyed. This heartbreaking story continues today with a public funeral in Halifax. 
All are welcome to attend, or view the live stream here:
https://t.co/1TwlIAwSFV https://t.co/zmGvFW5mGN",Sat Feb 23 18:49:25 +0000 2019,0,0
49,DipikaKaushal,kaushal_dipika,Very busy #halifax #MarketsMagic for #vinyl fair @Calderdale @Calderdalemkts #vegan food refreshments from @GraystonThe and some great rarities @VisitCalderdale Got this one @MKMRogers ? #TheFall https://t.co/q52YtqQogH,Sat Feb 23 18:49:29 +0000 2019,0,0
50,Ms. Hala,MsHalaCo,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:49:34 +0000 2019,0,0
51,Claire Quinn,ClaireBQuinn,"@katalee02 @chighbe @kiwedin_ @mahoneygod @DonaldinhoDrumf @BernieSanders Know of someone n Quebec waiting a long time to get CAT Scan &amp; another in Halifax w/ back problems waiting long time to get MRI. If you like U.S.PostOffice, U’ll love Single Payer. Political Elite won’t have to wait, just Peons that pay for SinglePayer #MAGA",Sat Feb 23 18:49:54 +0000 2019,0,0
52,CanadianBankingVictims.FightBack,BankersWatchDog,"@bhowiecdn @AndrewScheer @MichelleRempel @AndrewLawton @ezralevant .
Bank Lobbying SCAMS

Same as #SNCLavelin
.
#Trudeau PAY for PLAY #Scandal
.
SPREAD the WORD 100X Larger than #SNC scandal

https://t.co/haulq7Slb5

#BMO #CIBC #BNS #RBD #TD #CPC #PPC #Canada #PEI #LavScam #cdnpoli #PEI #Saskatoon #Timmins #Moncton #Guelph #Quebec #Halifax #NDP",Sat Feb 23 18:49:56 +0000 2019,0,0
53,Kayla Punchihewa,alittlelotus,Halifax Regional Police &amp; Halifax fire have just arrived at the Cunard Centre to take part in today’s funeral for the #Barho children. https://t.co/C9T7lsbem1,Sat Feb 23 18:50:02 +0000 2019,0,0
