number,handle name,handle ID,tweet,tweet time,retweet count,likes count
55,MarcoG,MarcoGesto,"RT @schpierre: Mentionner  l'appartenance religieuse des victimes de l'incendie d'Halifax est discriminatoire de la part de Radio-Canada. Si elles avaient été d'une autre confession religieuse, l'aurait-on mentionné ?",2019-02-22 01:21:06,29,0
56,HHB,HHBridges,"#MacKayBridge - Dartmouth to Halifax (Activity): Traffic conditions, Dartmouth bound light volumes, Halifax bound light volumes, snow removal, drive with care",2019-02-22 01:21:02,0,0
57,Gwenda,goonda13,"RT @mrstopviolence: Me - ""Hey PM @JustinTrudeau my name's Quentrel Provo and I'm going to be Canada's 1st Black Prime Minister"" PM's response - ""Just let me get in a few more terms."" Haha okay deal and we shake on it! #halifax #Dartmouth #NovaScotia #cdnpoli #nspoli #BlackHistoryMonth https://t.co/Fg9WHN44iu",2019-02-22 01:20:50,35,0
58,Carole Quintal,CaroleQuintal,"RT @PCoquereau: Les commentaires racistes, haineux, violents suite à l’incendie où des Syriens ont perdu la vie à Halifax.  Ceux qui les ont émis sont facilement repérables. Ils doivent être sévèrement sanctionnés.",2019-02-22 01:20:43,23,0
59,HHB,HHBridges,"#MacKayBridge - Dartmouth to Halifax (Activity): Traffic conditions, fair visibility, Dartmouth bound light volumes, Halifax bound light volumes, snow removal, drive with care",2019-02-22 01:20:02,0,0
60,MA Maritimes,meteoalerte_mar,"Halifax Intl Arpt (NS), Can 21/02/2019 20:00 -  faible neige https://t.co/qZ6m1rsrmk",2019-02-22 01:18:59,0,0
61,J Hardy,JJLHardy,"RT @StephenMcNeil: The Sackville-Bedford-Burnside Connector will extend Highway 107, build a high-speed bypass, and connect highways 101, 102, and 118. The connector will provide an important link between Bedford and Burnside, and make getting around the Greater Halifax area safer and easier. https://t.co/eBU98G5ZEF",2019-02-22 01:18:29,4,0
62,Intrinsic_Brain,intrinsicbrain,"RT @JustinTrudeau: Great news for Nova Scotia: The new Sackville-Bedford-Burnside Connector is coming soon! This project will create jobs, grow the local economy, and make sure your commute to and from Dartmouth is shorter and safer. Learn more: https://t.co/Xv7bhZBObG #BuildingCanada https://t.co/U7jTG7t5ll",2019-02-22 01:18:24,102,0
63,Deanna Ryan-Meister,TheDeemeister,"RT @AlexanderQuon: More photos from tonight’s vigil in #halifax. Hundreds came out to attend the ceremony, even in the freezing cold. #halifax #Bears4BarhoChildren https://t.co/a4EAUbkuv0",2019-02-22 01:18:18,14,0
64,Ori ikenna,Iykedozie12,"RT @geoffregan: After this unimaginable tragedy, our community has come together to support each other after the loss of these 7 children: https://t.co/2GUfVhEhph",2019-02-22 01:16:43,14,0
65,starvingdriver,starvingdriver,RT @hfxhurricanes: Mike Poole! And1! Hurricanes by 2 with a chance to go up 3! It's Halifax's first lead of the game!,2019-02-22 01:16:20,1,0
66,Still Fired,StillFired,We are excited to announce that we are going to be at next week’s @savourfw in #halifax and we will be bringing all the Moonshine goodness with us! Comment what you think we should use… https://t.co/1rv1aq0ris,2019-02-22 01:16:16,0,0
67,flair airlines,FlairAirlines,"Street art for less. Fly from Toronto to Halifax for $129 between May 2 and June 2, 2019, one way, taxes and fees included, limited seats available for a limited time. https://t.co/Ehj3JdcUFF https://t.co/iSewGtUEth",2019-02-22 01:16:04,0,0
68,Simon Ashworth Wood - #HandsOffVenezuela,Simon_A_Wood,"RT @compartycanada: EDMONTON
1PM @ Old Stratchona Farmers' Market [10310 83 Avenue Northwest]
https://t.co/8WaLqEXzbJ
HALIFAX
1PM @ Peace &amp; Freedom Park 
https://t.co/ufTNeeKsUS
LONDON
12PM @ Victoria Park, Northwest Corner [580 Clarence St]
https://t.co/k3wsG6hsMJ",2019-02-22 01:16:02,8,0
69,Tom Fraser,tomfraserhfx,"I can't imagine sitting in a McDonalds that doesn't have a painting with a gazebo, this is part of our collective heritage in Halifax please sign the petition to designate now https://t.co/4c0y1LkIoD",2019-02-22 01:15:57,0,0
70,Kathleen Casey,casey_kathleen,"RT @AndyFillmoreHFX: Lots of businesses in #Halifax are donating profits to the Barho family this week.

Here is a THREAD of the ones I know about – please flag any others and I'll add.",2019-02-22 01:15:43,91,0
71,aFrite Restaurant - Halifax,afriteresto,"Donair Gnocchi is back and is no joke. $17
.
.
.
.
#Halifax #halifaxwaterfront #downtownhalifax #patio #fall #newmenu #smallplates #halifaxnightlife #halifaxnoise #halifaxlocal… https://t.co/YRs5liljg4",2019-02-22 01:15:33,0,0
72,alan drummond,alandrummond2,"Paramedics from Halifax, Dartmouth and Elmsdale among 13 honoured for dedication https://t.co/SVVZSQJSGd via @HalifaxToday",2019-02-22 01:15:20,0,0
73,Halifax Hurricanes,hfxhurricanes,Mike Poole! And1! Hurricanes by 2 with a chance to go up 3! It's Halifax's first lead of the game!,2019-02-22 01:15:16,1,2
74,StFX Athletics,StFXAthletics,Men's hockey final score: Saint Mary's takes the 3-0 win over StFX in Game 1 of the best-of-5 AUS semifinals. Game 2 is Saturday night back in Halifax.,2019-02-22 01:14:13,0,2
75,Atl Ground Control,AtlGrControl,"It's time to #EVOLVE. Live-streaming Sound Intensives. Join us March 23, 2019. It's time to #ACTIVATE. #HEAL #LOVE #TRANSFORM #HALIFAX https://t.co/lmCiTQtdkl @soundbeings @atlanticgroundcontrol https://t.co/wVPOxv6UnN",2019-02-22 01:13:28,0,0
76,Zane Woodford,zwoodford,"RT @thestarhalifax: Tragedies like the fatal fire in Spryfield take a huge toll on first responders, and they’re expressing gratitude for an outpouring of support. https://t.co/lLGmOO3wJu",2019-02-22 01:13:11,7,0
77,Halifax Cycling,IBIKEHFX,@hfxgirl There are plenty of flat areas of Halifax to bike around! The bigger barrier is a lack of protected bike lanes.,2019-02-22 01:13:08,0,0
78,Halifax Cycling,IBIKEHFX,@hfxgirl There are plenty of flat areas of Halifax to bike around! The bigger barrier is a lack of protected bike lanes.,2019-02-22 01:13:08,0,0
79,Halifax Jobs,HalifaxJob,"Associate Procurement Specialist: J.D. Irving, Limited (Halifax, NS): ""Shipbuilding Inc. is a member of the J.D. Irving, Limited group of companies, a diverse family owned company with operations in Canada..."" halifax eluta https://t.co/kJHwZzpYbd",2019-02-22 01:12:28,0,0
80,PIAA District III,piaadistrict3,"District III M&amp;T Bank Basketball Championships, Thursday's results:

1A Boys Quarterfinals
Halifax 86, Harrisburg Academy 42",2019-02-22 01:10:43,0,0
81,John,JohnWBeaton,"RT @Brett_CBC: The GoFundMe campaign to help the Barho family after their fatal house fire is now the second largest in Canadian history (now nearly a half-million dollars).
1. Humboltd Broncos
2. Halifax House Fire
3. Quebec Mosque Victims https://t.co/RGkvQgz7bs",2019-02-22 01:10:19,5,0
82,sackvillenovascotia,sackvillenovasc,"RT @NatashaPace: Many people have been affected by the tragic house fire this week in Halifax. An expert has given me this list, which has the contact information for grief support groups across Nova Scotia, in case anyone would like to speak about how they are feeling. https://t.co/MXckmfhHUs",2019-02-22 01:09:54,26,0
83,AdouramaneBalde,baldea06,PHOTOS: Fire claims the lives of seven Syrian children in Halifax https://t.co/JYQBIzBQZc,2019-02-22 01:09:51,0,0
84,Logan Campbell,LogManMaritimes,Prime Minister announces up to $86.5 million for Burnside Connector - Halifax Today https://t.co/ATRXh74LI1 via @HalifaxToday,2019-02-22 01:08:43,0,0
85,Michael,Tea_with_mike,"RT @teamnovascotia: “We’ve never had an audience that big before” - Artistic swimmers Libby MacLeod, Alexandra Hernandez, and Kaia Regan (all from Halifax) share their thoughts on their team free final swim and their amazing experience at the @2019CanadaGames! #supernova https://t.co/yEVPy0zuLr",2019-02-22 01:08:35,1,0
86,WX Halifax,wc_halifax,Thu 21:00: Temp -4.8 C; Windchill -7; Humidity 91%; Press 100.6 kPa / falling.,2019-02-22 01:07:54,0,0
87,Eileen Pelham,efpel,"RT @haligonia: Today is a sad and tragic day after a fatal fire in Halifax.  A family suffered a terrible tragedy.  And this is a strong reminder that many first responders are also carrying this tragedy with them.  To all involved, we can't fully understand the loss, but we are thinking of you https://t.co/rzQhnjrPoY",2019-02-22 01:07:42,281,0
88,Halifax Wildcats,WildcatsHalifax,Wildcats advance over @harrisburgacad with a score of 86-42. Next game is Monday night at 7pm here in Halifax. @piaadistrict3 #WildcatSports,2019-02-22 01:07:22,0,1
89,Wesley Coughlan,WesleyCoughlan,RT @CTVAtlantic: PM joins hundreds in Halifax square to remember 7 refugee children lost in fire https://t.co/nG82SP9Y8a,2019-02-22 01:07:15,38,0
90,Wesley Coughlan,WesleyCoughlan,RT @NatashaPace: WATCH: Those who knew the Barho family are reflecting on the lives of the 7 children who passed away this week following a tragic house fire in Halifax. https://t.co/phuTwHsESL,2019-02-22 01:07:04,2,0
91,Donn Lovett,donnlovett,"RT @JustinTrudeau: In times of tragedy, Canadians are there for each other. 
https://t.co/JgBeiLWHdV",2019-02-22 01:06:50,456,0
92,starvingdriver,starvingdriver,"RT @thestarhalifax: A 15-year-old boy is facing multiple charges after allegedly wielding a fake firearm, prompting a lockdown that saw terrified Halifax-area high school students barricaded inside classrooms for hours. https://t.co/5kxjvWrgeF",2019-02-22 01:06:35,2,0
93,Wesley Coughlan,WesleyCoughlan,"RT @CTVAtlantic: Trudeau says the money will help extend the Highway 107 Burnside  Connector and build a high-speed bypass to connect Highways 101, 102,  and 118. https://t.co/v4JdqteTEl",2019-02-22 01:05:46,7,0
94,The Star Halifax,thestarhalifax,"A 15-year-old boy is facing multiple charges after allegedly wielding a fake firearm, prompting a lockdown that saw terrified Halifax-area high school students barricaded inside classrooms for hours. https://t.co/5kxjvWrgeF",2019-02-22 01:05:05,2,1
95,sandyc,sandyc1772,"RT @CBCMorningLive: ""Now, the family needs us more than ever."" Syrian refugee chocolatier @Peacebychoco tells @cbchh about why he's donating sales proceeds today to help the Barho family who lost seven children in the devastating Halifax house fire this week. https://t.co/HMhpQy8pCh",2019-02-22 01:05:05,82,0
96,Wesley Coughlan,WesleyCoughlan,RT @CTVAtlantic: Bassam Al-Rawi has been committed to stand trial for a second alleged sexual assault. https://t.co/g2USEVCohY,2019-02-22 01:05:02,2,0
97,Alexander Koltakov,AKoltakovCilart,"New artwork: Secluded corner of Halifax (14×14""), Acrylic  on canvas, #ArtWeb #art #painting #acrylic #impressionism #akoltakov #artwork #canadianart #acrylic_on_canvas # #canadian_art #nova_scotia #Canadian #Canada https://t.co/enP5uG8LaB",2019-02-22 01:04:51,0,0
